title,house_type,location,price,description,bath,beds,area_in_sqr_ft
Modern Luxury Villa,Villa,"Gurugram, Haryana",₹1.85 Cr,"A modern luxury villa in Delhi NCR with 4 beds and 4 bath rooms, having semi furenished furniture and with amenities:- parking area, wifi, security guard, swimming pool. This villa is just 5 minutes away from the NH10 and 30 minutes away from nation capital region.",4,4,3200
Premium 3 BHK Apartment,Apartment,"Noida, Uttar Pradesh",₹95.0 L,"A Premium 3BHK aparment with wide area along with 3 beds and 3 bath rooms, having furenished furniture and with amenities:- parking area, wifi, water, swimming pool, lawn. This apartment has wooden flooring and 60 minutes away from nation capital region.",3,3,1850
Contemporary Family Home,House,Delhi,₹1.25 Cr,"A Complete family home very suitable for joint family 4 beds with attached bathrooms, having furenished furniture and with amenities:- lawn, water, swimming pool, sea view. This home have Italian marble flooring and just 10 minutes away from NH20.",2,3,2100
Elegant Downtown Apartment,Apartment,"Mumbai, Maharashtra",₹2.40 Cr,"A awesome Downtown apartment who love to leave downtown very suitable for business mans, gove employees etc. And have 5 beds with 3 bathrooms with amenities:- lawn, water, security guard. This apratment has Italian marble flooring on ground floor and wooden flooring on second floor.",3,3,1650
Green Valley Villa,Villa,"Pune, Maharashtra",₹1.45 Cr,"A Green valley villa for Royal family who love to leave in Pune. The villa have 5 beds with 3 bathrooms with amenities:- wide lawn, water, swiming pool, security guard. This apratment has Italian marble flooring on ground floor and wooden flooring on second floor.",4,4,2800
Affordable 2 BHK Home,House,"Jaipur, Rajasthan",₹52.0 L,"A small 2BHK home for medium family near pink city. The house have 2 beds with 2 bathrooms with amenities:- water, wifi.",2,2,1250
Sea View Luxury Apartment,Apartment,Goa,₹1.75 Cr,"A Sea view luxury apartment who want to live near the beach with greenary all over. Just 60 mins away from the capital of Goa. The apartment have 3 beds with 3 bathrooms with amenities:- wide lawn, water, swiming pool, security guard, wifi.",3,3,1900
Spacious 4 BHK Residence,House,"Bangalore, Karnataka",₹1.38 Cr,"A Sea view luxury apartment who want to live near the beach with greenary all over. Just 60 mins away from the capital of Goa. The apartment have 4 beds with 3 bathrooms with amenities:- wide lawn, water, swiming pool, security guard, wifi.",3,4,2500
Luxury Penthouse,Penthouse,"Hyderabad, Telangana",₹2.20 Cr,"A luxury penthouse who want to live near the beach with awesome sea view. Semi furnished house amenities:- wifi, water, swiming pool",4,4,3500
Modern City Apartment,Apartment,Chandigarh,₹78.0 L,"A Luxury apartment in modern city suitable to 3 persons having two attachde bathrooms. Semi furnished house amenities:- wifi, water, security guard, parking area.",2,3,1550
